Name	last	absences	last.vote	first.vote	votings.absences	votings.n
Sellin Jarosław	PiS	811	X37493	X29021	811	8402
Senyszyn Joanna	Lewica	6577	X32241	X29021	1353	3178
Siarka Edward	PiS	526	X37493	X29021	526	8402
Siedlaczek Henryk	PO	305	X37493	X29021	305	8402
Sierakowska Izabella	SDPL	2208	X37493	X29021	2208	8402
Sikora Anna	PiS	1029	X37493	X29021	1029	8402
Sikorski Radosław	PO	4627	X37364	X29023	4497	8272
Sitarz Witold	PO	67	X37493	X29021	67	8402
Skorupa Aleksander Marek	PO	2616	X35235	X29021	367	6153
Skowrońska Krystyna	PO	246	X37493	X29021	246	8402
Skrzydlewska Joanna	PO	5241	X32334	X29021	110	3271
Smirnow Andrzej	PO	264	X37493	X29021	264	8402
Smolarz Tomasz	PO	964	X37493	X29021	964	8402
Smoliński Kazimierz	PiS	5246	X37493	X34028	289	3445
Sobecka Anna	PiS	694	X37493	X29021	694	8402
Sokołowski Wojciech	PO	6234	X37493	X35050	267	2435
Sopliński Aleksander	PSL	970	X37490	X29041	948	8380
Sońta Krzysztof	PiS	182	X37493	X29021	182	8402
Sośnierz Andrzej	PJN	1387	X37493	X29021	1387	8402
Sprawka Lech	PiS	413	X37493	X29021	413	8402
Stanke Piotr	PiS	667	X37493	X29021	667	8402
Starownik Marian	PSL	5095	X37491	X34085	79	3386
Staroń Lidia	PO	838	X37272	X29021	617	8181
Stawiarski Jarosław	PiS	460	X37493	X29021	460	8402
Stec Stanisław	SLD	814	X37493	X29021	814	8402
Stefaniuk Franciszek Jerzy	PSL	882	X37493	X29021	882	8402
Stolarczyk Jarosław	PO	3293	X37493	X32345	12	5121
Streker-Dembińska Elżbieta	SLD	1051	X37493	X29021	1051	8402
Struzik Adam	PSL	8402	NA	NA	NA	NA
Strzałkowski Stefan	PiS	4353	X37055	X32372	607	4656
Stuligrosz Michał	PO	555	X37493	X29021	555	8402
Suchowiejko Wiesław	PO	5090	X37493	X34084	77	3389
Suski Marek	PiS	307	X37493	X29021	307	8402
Suski Paweł	PO	150	X37493	X29021	150	8402
Sycz Miron	PO	274	X37493	X29021	274	8402
Szarama Wojciech	PiS	1343	X37492	X29021	1342	8401
Szczepański Wiesław Andrzej	SLD	581	X37493	X29021	581	8402
Szczerba Michał	PO	170	X37493	X29021	170	8402
Szczygło Aleksander Marek	PiS	6358	X31577	X29021	472	2516
Szczypińska Jolanta	PiS	1232	X37493	X29021	1232	8402
Szejnfeld Adam	PO	1475	X37493	X29021	1475	8402
Szkop Władysław	niez.	5318	X37471	X32533	1827	4911
Szlachta Andrzej	PiS	105	X37493	X29021	105	8402
Szmajdziński Jerzy	Lewica	4986	X33856	X29021	1370	4786
Sztolcman Grzegorz	PO	173	X37493	X29021	173	8402
Sztorc Andrzej	PSL	5078	X37493	X34028	121	3445
Szulc Jakub	PO	1417	X37493	X29021	1417	8402
Szumilas Krystyna	PO	895	X37493	X29021	895	8402
Szwed Stanisław	PiS	215	X37493	X29021	215	8402
Szydło Beata	PiS	582	X37493	X29021	582	8402
Szydłowska Bożena	PO	455	X37493	X29021	455	8402
Szymanek-Deresz Jolanta	Lewica	4575	X33876	X29021	979	4806
Szyszko Jan	PiS	2616	X37493	X29021	2616	8402
Sławecki Tadeusz	PSL	284	X37493	X29021	284	8402
Sławiak Bożena	PO	253	X37492	X29021	252	8401
Tchórzewski Krzysztof	PiS	1881	X37493	X29021	1881	8402
Telus Robert	PiS	362	X37493	X29021	362	8402
Terlecki Ryszard	PiS	217	X37493	X29021	217	8402
Tobiszowski Grzegorz	PiS	372	X37493	X29021	372	8402
Tomaka Jan Walenty	PO	1846	X36034	X29021	391	6947
Tomaszak-Zesiuk Irena	PO	305	X37493	X29021	305	8402
Tomaszewski Tadeusz	SLD	1064	X37493	X29021	1064	8402
Tomański Piotr	PO	308	X37493	X29021	308	8402
Tomczak Jacek	PO	1412	X37493	X29021	1412	8402
Tomczyk Cezary	PO	170	X37493	X29021	170	8402
Tomczykiewicz Tomasz	PO	1837	X37493	X29021	1837	8402
Tołwiński Krzysztof	PiS	5003	X37493	X34028	46	3445
Tusk Donald	PO	6634	X36517	X29021	5660	7428
Tusk Łukasz	PO	206	X37493	X29021	206	8402
Tyszkiewicz Krzysztof	PO	166	X37493	X29021	166	8402
Tyszkiewicz Robert	PO	754	X37493	X29021	754	8402
Ujazdowski Kazimierz Michał	PiS	2045	X37364	X29021	1916	8273
Urban Cezary	PO	661	X37493	X29021	661	8402
Urbaniak Jarosław	PO	2726	X34924	X29021	167	5843
Van der Coghen Piotr	PO	24	X37493	X29021	24	8402
Walkowiak Andrzej	PJN	354	X37493	X29021	354	8402
Walkowski Piotr	PSL	3810	X37493	X32372	502	5094
Wargocka Teresa	PiS	333	X37493	X29021	333	8402
Warzecha Jan	PiS	5007	X37493	X34028	50	3445
Wassermann Zbigniew	PiS	4037	X33876	X29021	441	4806
Wałęsa Jarosław	PO	5584	X32334	X29021	453	3271
Waśko Piotr	PO	199	X37493	X29021	199	8402
Wenderlich Jerzy	SLD	1808	X37489	X29021	1804	8398
Widacki Jan	SLD	2234	X37345	X29021	2086	8254
Wielichowska Monika	PO	202	X37493	X29021	202	8402
Wikiński Marek	SLD	3064	X37364	X29023	2934	8272
